seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
249152,Baseline,4,200,TRUE,2,"2,3",0.524756931940944,0.506172839506173,2,131,8,147,0,1526,694.25,809.474057644839,0.00903157894736842
249153,Baseline,4,168,FALSE,1,3,0.658172635445363,1,3,59,10,47,0,1778,544.5,843.675095440577,0.00899099099099099
249154,Baseline,4,200,TRUE,3,"1,2,3",0.35863697705803,0.334593572778828,2,143,12,59,0,2875,1667.25,1263.28074868574,0.0106944444444444
249155,Baseline,4,173,FALSE,1,3,0.75,1,3,111,6,74,0,3572,893,1786,0.0103781094527363
249156,Baseline,4,200,TRUE,2,"1,3",0.588173243981137,0.5648,3,155,1,147,0,2725,1007.25,1299.72186127135,0.00790196078431373
249157,Baseline,4,200,TRUE,3,"1,2,4",0.309247578283397,0.34156378600823,1,114,11,140,0,1674,1109.75,776.463939922518,0.00857936507936508
249158,Baseline,4,114,FALSE,1,1,0.75,1,3,78,10,60,0,3780,945,1890,0.0106666666666667
249159,Baseline,4,90,FALSE,1,4,0.75,1,3,53,5,39,0,1431,357.75,715.5,0.00603174603174603
249160,Baseline,4,115,FALSE,1,2,0.75,1,3,94,10,54,0,1800,450,900,0.007625
249161,Baseline,4,185,FALSE,1,4,0.652959728287239,1,3,66,10,78,0,1661,515.25,786.763571008894,0.00981735159817352
249162,Baseline,4,191,FALSE,1,2,0.75,1,4,46,8,138,0,2733,683.25,1366.5,0.00996428571428571
249163,Baseline,4,200,TRUE,3,"1,3,4",0.464453860640301,0.433884297520661,1,181,6,88,0,2564,1062,1080.2234336778,0.0120666666666667
249164,Baseline,4,183,FALSE,1,3,0.75,1,4,123,17,51,0,2060,515,1030,0.0105632183908046
249165,Baseline,4,123,FALSE,1,3,0.75,1,4,65,8,36,0,4208,1052,2104,0.00627536231884058
